X--Trace 1::[I(R1:1) | I(PR1)],Y--Trace 1::[I(R1:1) | I(PR1)],,X--Trace 2::[V(2) | V(PR3)],Y--Trace 2::[V(2) | V(PR3)]
1.64,0.00037376,,1.64,9.45843
1.65,0.000385531,,1.65,9.37839
1.66,0.000397485,,1.66,9.2971
1.67,0.000409621,,1.67,9.21458
1.68,0.00042194,,1.68,9.13081
1.69,0.000434441,,1.69,9.0458
1.7,0.000447125,,1.7,8.95955
1.71,0.000459991,,1.71,8.87206
1.72,0.00047304,,1.72,8.78333
1.73,0.000486271,,1.73,8.69336
1.74,0.000499685,,1.74,8.60214
1.75,0.000513281,,1.75,8.50969
1.76,0.00052706,,1.76,8.41599
1.77,0.000541021,,1.77,8.32106
1.78,0.000555165,,1.78,8.22488
1.79,0.000569491,,1.79,8.12746
1.8,0.000584,,1.8,8.0288
1.81,0.000598691,,1.81,7.9289
1.82,0.000613565,,1.82,7.82776
1.83,0.000628621,,1.83,7.72538
1.84,0.00064386,,1.84,7.62175
1.85,0.000659281,,1.85,7.51689
1.86,0.000674885,,1.86,7.41078
1.87,0.000690671,,1.87,7.30344
1.88,0.00070664,,1.88,7.19485
1.89,0.000722791,,1.89,7.08502
1.9,0.000739125,,1.9,6.97395
1.91,0.000755641,,1.91,6.86164
1.92,0.00077234,,1.92,6.74809
1.93,0.000789221,,1.93,6.6333
1.94,0.000806285,,1.94,6.51726
1.95,0.000823531,,1.95,6.39999
1.96,0.00084096,,1.96,6.28147
1.97,0.000858571,,1.97,6.16172
1.98,0.000876365,,1.98,6.04072
1.99,0.000894341,,1.99,5.91848
2,0.0009125,,2,5.795
2.01,0.000930841,,2.01,5.67028
2.02,0.000949365,,2.02,5.54432
2.03,0.000968071,,2.03,5.41712
2.04,0.00098696,,2.04,5.28867
2.05,0.00100603,,2.05,5.15899
2.06,0.00102529,,2.06,5.02806
2.07,0.00104472,,2.07,4.8959
2.08,0.00106434,,2.08,4.76249
2.09,0.00108414,,2.09,4.62784
2.1,0.00110413,,2.1,4.49195
2.11,0.00112429,,2.11,4.35482
2.12,0.00114464,,2.12,4.21645
2.13,0.00116517,,2.13,4.07684
2.14,0.00118589,,2.14,3.93598
2.15,0.00120678,,2.15,3.79389
2.16,0.00122786,,2.16,3.65055
2.17,0.00124912,,2.17,3.50598
2.18,0.00127057,,2.18,3.36016
2.19,0.00129219,,2.19,3.2131
2.2,0.001314,,2.2,3.0648
2.21,0.00133599,,2.21,2.91526
2.22,0.00135817,,2.22,2.76448
2.23,0.00138052,,2.23,2.61246
2.24,0.00140306,,2.24,2.45919
2.25,0.00142578,,2.25,2.30469
2.26,0.00144869,,2.26,2.14894
2.27,0.00147177,,2.27,1.99196
